"protein","entry_name","description","gene_names","family","expression_tissue"
"P18627","LAG3_HUMAN","Lymphocyte activation gene 3 protein","LAG3 FDC","TM","Brain\MAT\SCAT\Skin\Small\Spleen\Thymus"
"P18827","SDC1_HUMAN","Syndecan-1","SDC1 SDC","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P18850","ATF6A_HUMAN","Cyclic AMP-dependent transcription factor ATF-6 alpha","ATF6","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P19021","AMD_HUMAN","Peptidyl-glycine alpha-amidating monooxygenase","PAM","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P19022","CADH2_HUMAN","Cadherin-2","CDH2 CDHN NCAD","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P19075","TSN8_HUMAN","Tetraspanin-8","TSPAN8 TM4SF3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P19235","EPOR_HUMAN","Erythropoietin receptor","EPOR","TM","Kidney\SCAT\Spleen"
"P19320","VCAM1_HUMAN","Vascular cell adhesion protein 1","VCAM1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P19438","TNR1A_HUMAN","Tumor necrosis factor receptor superfamily member 1A","TNFRSF1A TNFAR TNFR1","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P19526","FUT1_HUMAN","Galactoside alpha--fucosyltransferase 1FT 1-fucosyltransferase FUT1-fucosyltransferase FUT1","FUT1 H HSC","TM","Pancreas\Skin\Small"
"P19634","SL9A1_HUMAN","Sodium/hydrogen exchanger 1/H antiporter, amiloride-sensitive/H exchanger 1","SLC9A1 APNH1 NHE1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20020","AT2B1_HUMAN","Plasma membrane calcium-transporting ATPase 1","ATP2B1 PMCA1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20273","CD22_HUMAN","B-cell receptor CD22","CD22 SIGLEC2","TM","Adrenal\BAT\Brain\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P20292","AL5AP_HUMAN","Arachidonate 5-lipoxygenase-activating protein","ALOX5AP FLAP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20309","ACM3_HUMAN","Muscarinic acetylcholine receptor M3","CHRM3","TM(GPCR)","Adrenal\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Tongue\Urinary"
"P20333","TNR1B_HUMAN","Tumor necrosis factor receptor superfamily member 1B","TNFRSF1B TNFBR TNFR2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20594","ANPRB_HUMAN","Atrial natriuretic peptide receptor 2","NPR2 ANPRB","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20645","MPRD_HUMAN","Cation-dependent mannose-6-phosphate receptor","M6PR MPR46 MPRD","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20648","ATP4A_HUMAN","Potassium-transporting ATPase alpha chain 1/K ATPase subunit alpha","ATP4A","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20701","ITAL_HUMAN","Integrin alpha-L","ITGAL CD11A","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20702","ITAX_HUMAN","Integrin alpha-X","ITGAX CD11C","TM","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P20916","MAG_HUMAN","Myelin-associated glycoprotein","MAG GMA","TM","BAT\Brain\Eye\GAT\Heart\Lung\Muscle\Prostate\SCAT\Skin\Tongue"
"P20963","CD3Z_HUMAN","T-cell surface glycoprotein CD3 zeta chain","CD247 CD3Z T3Z TCRZ","TM","BAT\GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P21397","AOFA_HUMAN","Amine oxidase A","MAOA","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21439","MDR3_HUMAN","Phosphatidylcholine translocator ABCB4","ABCB4 MDR3 PGY3","TM(Trans)","Adrenal\BAT\Brain\Eye\Heart\Kidney\Liver\Lung\MAT\Muscle\SCAT\Skin\Small\Spleen\Thymus\Tongue\Urinary"
"P21452","NK2R_HUMAN","Substance-K receptor","TACR2 NK2R NKNAR TAC2R","TM(GPCR)","Adrenal\Heart\Small\Stomach"
"P21453","S1PR1_HUMAN","Sphingosine 1-phosphate receptor 1","S1PR1 CHEDG1 EDG1","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21462","FPR1_HUMAN","fMet-Leu-Phe receptor","FPR1","TM(GPCR)","Liver\Lung\Skin\Small\Spleen\Thymus"
"P21554","CNR1_HUMAN","Cannabinoid receptor 1","CNR1 CNR","TM(GPCR)","Adrenal\Brain\Eye\SCAT\Small\Stomach"
"P21579","SYT1_HUMAN","Synaptotagmin-1","SYT1 SVP65 SYT","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21583","SCF_HUMAN","Kit ligand","KITLG MGF SCF","TM","Adrenal\Brain\Lung\Prostate\Small\Spleen\Stomach\Testis"
"P21709","EPHA1_HUMAN","Ephrin type-A receptor 1","EPHA1 EPH EPHT EPHT1","TM(RTK)","Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus\Tongue\Urinary"
"P21730","C5AR1_HUMAN","C5a anaphylatoxin chemotactic receptor 1","C5AR1 C5AR C5R1","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21731","TA2R_HUMAN","Thromboxane A2 receptor","TBXA2R","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P21757","MSRE_HUMAN","Macrophage scavenger receptor types I and II","MSR1 SCARA1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21796","VDAC1_HUMAN","Non-selective voltage-gated ion channel VDAC1","VDAC1 VDAC","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21817","RYR1_HUMAN","Ryanodine receptor 1","RYR1 RYDR","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21854","CD72_HUMAN","B-cell differentiation antigen CD72","CD72","TM","Adrenal\BAT\Brain\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21860","ERBB3_HUMAN","Receptor tyrosine-protein kinase erbB-3","ERBB3 HER3","TM(RTK)","Adrenal\BAT\Brain\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Stomach\Thymus\Tongue\Urinary"
"P21926","CD9_HUMAN","CD9 antigen","CD9 MIC3 TSPAN29 GIG2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P21964","COMT_HUMAN","Catechol O-methyltransferase","COMT","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P22001","KCNA3_HUMAN","Potassium voltage-gated channel subfamily A member 3 channel HuKIII","KCNA3 HGK5","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P22083","FUT4_HUMAN","Alpha--fucosyltransferase 4","FUT4 ELFT FCT3A","TM","Lung\MAT\Prostate\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P22223","CADH3_HUMAN","Cadherin-3","CDH3 CDHP","TM","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P22309","UD11_HUMAN","UDP-glucuronosyltransferase 1A1","UGT1A1 GNT1 UGT1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P22459","KCNA4_HUMAN","Potassium voltage-gated channel subfamily A member 4 channel HuKII","KCNA4 KCNA4L","TM(IC)","BAT\Brain\Eye\Heart"
"P22680","CP7A1_HUMAN","Cytochrome P450 7A1","CYP7A1 CYP7","TM","Liver\Prostate\Small\Stomach\Testis"
"P22732","GTR5_HUMAN","Solute carrier family 2, facilitated glucose transporter member 5","SLC2A5 GLUT5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Kidney\MAT\Prostate\SCAT\Skin\Small\Spleen\Testis\Thymus"
"P22760","AAAD_HUMAN","Arylacetamide deacetylase","AADAC DAC","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P22794","EVI2A_HUMAN","Protein EVI2A","EVI2A EVDA EVI2","TM","BAT\Brain\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Thymus\Urinary"
"P22888","LSHR_HUMAN","Lutropin-choriogonadotropic hormone receptor","LHCGR LCGR LGR2 LHRHR","TM(GPCR)","Brain\Spleen\Testis"
"P22897","MRC1_HUMAN","Macrophage mannose receptor 1","MRC1 CLEC13D CLEC13DL MRC1L1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23229","ITA6_HUMAN","Integrin alpha-6","ITGA6","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23276","KELL_HUMAN","Kell blood group glycoprotein","KEL","TM","Adrenal\BAT\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Spleen\Testis\Thymus\Tongue\Urinary"
"P23467","PTPRB_HUMAN","Receptor-type tyrosine-protein phosphatase beta","PTPRB PTPB","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23468","PTPRD_HUMAN","Receptor-type tyrosine-protein phosphatase delta","PTPRD","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23469","PTPRE_HUMAN","Receptor-type tyrosine-protein phosphatase epsilon","PTPRE","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23471","PTPRZ_HUMAN","Receptor-type tyrosine-protein phosphatase zeta","PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ","TM","Adrenal\BAT\Brain\Eye\Lung\Prostate\Skin\Small\Stomach\Thymus\Tongue\Urinary"
"P23634","AT2B4_HUMAN","Plasma membrane calcium-transporting ATPase 4","ATP2B4 ATP2B2 MXRA1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P23763","VAMP1_HUMAN","Vesicle-associated membrane protein 1","VAMP1 SYB1","TM","Adrenal\BAT\Brain\Eye\Heart\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Tongue\Urinary"
"P23975","SC6A2_HUMAN","Sodium-dependent noradrenaline transporter","SLC6A2 NAT1 NET1 SLC6A5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P24046","GBRR1_HUMAN","Gamma-aminobutyric acid receptor subunit rho-1 receptor subunit rho-1 receptor","GABRR1","TM(IC)","Eye\Kidney\Muscle"
"P24310","CX7A1_HUMAN","Cytochrome c oxidase subunit 7A1, mitochondrial","COX7A1 COX7AH","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P24311","COX7B_HUMAN","Cytochrome c oxidase subunit 7B, mitochondrial","COX7B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P24390","ERD21_HUMAN","ER lumen protein-retaining receptor 1","KDELR1 ERD2.1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P24394","IL4RA_HUMAN","Interleukin-4 receptor subunit alpha","IL4R IL4RA 582J2.1","TM","Adrenal\BAT\Brain\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P24530","EDNRB_HUMAN","Endothelin receptor type B","EDNRB ETRB","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P24557","THAS_HUMAN","Thromboxane-A synthase","TBXAS1 CYP5 CYP5A1 TXAS","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P25025","CXCR2_HUMAN","C-X-C chemokine receptor type 2","CXCR2 IL8RB","TM(GPCR)","Lung\MAT\SCAT\Spleen"
"P25092","GUC2C_HUMAN","Guanylyl cyclase C","GUCY2C GUC2C STAR","TM","Lung\MAT\Pancreas\Small\Stomach"
"P25101","EDNRA_HUMAN","Endothelin-1 receptor","EDNRA ETA ETRA","TM(GPCR)","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P25103","NK1R_HUMAN","Substance-P receptor","TACR1 NK1R TAC1R","TM(GPCR)","Brain\Eye\MAT\Skin\Small\Spleen\Stomach\Thymus"
"P25105","PTAFR_HUMAN","Platelet-activating factor receptor","PTAFR PAFR","TM(GPCR)","BAT\GAT\Heart\Liver\Lung\MAT\Prostate\SCAT\Skin\Spleen\Thymus\Tongue\Urinary"
"P25106","ACKR3_HUMAN","Atypical chemokine receptor 3","ACKR3 CMKOR1 CXCR7 GPR159 RDC1","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P25116","PAR1_HUMAN","Proteinase-activated receptor 1","F2R CF2R PAR1 TR","TM(GPCR)","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P25874","UCP1_HUMAN","Mitochondrial brown fat uncoupling protein 1","UCP1 SLC25A7 UCP","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Tongue\Urinary"
"P25929","NPY1R_HUMAN","Neuropeptide Y receptor type 1","NPY1R NPYR NPYY1","TM(GPCR)","BAT\Brain\Kidney\Lung\MAT\SCAT\Skin\Spleen\Thymus\Urinary"
"P25942","TNR5_HUMAN","Tumor necrosis factor receptor superfamily member 5","CD40 TNFRSF5","TM","Adrenal\BAT\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P26006","ITA3_HUMAN","Integrin alpha-3","ITGA3 MSK18","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P26010","ITB7_HUMAN","Integrin beta-7","ITGB7","TM","Adrenal\GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P26012","ITB8_HUMAN","Integrin beta-8","ITGB8","TM","Adrenal\Brain\Eye\Kidney\MAT\Pancreas\Prostate\Skin\Thymus\Urinary"
"P26572","MGAT1_HUMAN","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT1 GGNT1 GLCT1 GLYT1 MGAT","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P26678","PPLA_HUMAN","Phospholamban","PLN PLB","TM","BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue"
"P26718","NKG2D_HUMAN","NKG2-D type II integral membrane protein","KLRK1 D12S2489E NKG2D","TM","GAT\MAT\SCAT\Skin\Spleen\Thymus"
"P26842","CD27_HUMAN","CD27 antigen","CD27 TNFRSF7","TM","GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Thymus\Urinary"
"P27037","AVR2A_HUMAN","Activin receptor type-2A","ACVR2A ACVR2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27338","AOFB_HUMAN","Amine oxidase B","MAOB","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27449","VATL_HUMAN","V-type proton ATPase 16 kDa proteolipid subunit c","ATP6V0C ATP6C ATP6L ATPL","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27487","DPP4_HUMAN","Dipeptidyl peptidase 4","DPP4 ADCP2 CD26","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27544","CERS1_HUMAN","Ceramide synthase 1","CERS1 LAG1 LASS1 UOG1","TM","Adrenal\Brain\Eye\Muscle\Skin"
"P27701","CD82_HUMAN","CD82 antigen","CD82 KAI1 SAR2 ST6 TSPAN27","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27824","CALX_HUMAN","Calnexin","CANX","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P27930","IL1R2_HUMAN","Interleukin-1 receptor type 2","IL1R2 IL1RB","TM","BAT\Eye\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P28223","5HT2A_HUMAN","5-hydroxytryptamine receptor 2A","HTR2A HTR2","TM(GPCR)","Brain\SCAT\Spleen"
"P28288","ABCD3_HUMAN","ATP-binding cassette sub-family D member 3","ABCD3 PMP70 PXMP1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P28335","5HT2C_HUMAN","5-hydroxytryptamine receptor 2C","HTR2C HTR1C","TM(GPCR)","Brain\GAT\Lung\Skin"
"P28472","GBRB3_HUMAN","Gamma-aminobutyric acid receptor subunit beta-3 receptor subunit beta-3","GABRB3","TM(IC)","Brain\Eye\Spleen\Stomach"
"P28827","PTPRM_HUMAN","Receptor-type tyrosine-protein phosphatase mu","PTPRM PTPRL1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P28845","DHI1_HUMAN","11-beta-hydroxysteroid dehydrogenase 1","HSD11B1 HSD11 HSD11L SDR26C1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P28906","CD34_HUMAN","Hematopoietic progenitor cell antigen CD34","CD34","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P28907","CD38_HUMAN","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","CD38","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P29033","CXB2_HUMAN","Gap junction beta-2 protein","GJB2","TM","Brain\Kidney\Liver\Pancreas\Prostate\Skin\Small\Urinary"
"P29274","AA2AR_HUMAN","Adenosine receptor A2a","ADORA2A ADORA2","TM(GPCR)","Adrenal\Brain\Kidney\Liver\Lung\MAT\Spleen\Thymus"
"P29275","AA2BR_HUMAN","Adenosine receptor A2b","ADORA2B","TM(GPCR)","Eye\Small\Urinary"
"P29317","EPHA2_HUMAN","Ephrin type-A receptor 2","EPHA2 ECK","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P29323","EPHB2_HUMAN","Ephrin type-B receptor 2","EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P29965","CD40L_HUMAN","CD40 ligand","CD40LG CD40L TNFSF5 TRAP","TM","MAT\Spleen\Thymus"
"P29972","AQP1_HUMAN","Aquaporin-1","AQP1 CHIP28","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P29973","CNGA1_HUMAN","Cyclic nucleotide-gated channel alpha-1","CNGA1 CNCG CNCG1","TM(IC)","Eye\Kidney\Thymus"
"P30203","CD6_HUMAN","T-cell differentiation antigen CD6","CD6","TM","Kidney\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Thymus"
"P30273","FCERG_HUMAN","High affinity immunoglobulin epsilon receptor subunit gamma","FCER1G","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
